"COUNTRY","Country","DLVLEDUC","Level of education","DDESTPRG","Programme destination","DPROGTYP","Programme orientation","DMODETYP","Intensity of participation","DINSTTYP","Type of institution","DSEX","Gender","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2010","2010",,,"0","Units",,,1396119,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2011","2011",,,"0","Units",,,1396592,,
"FIN","Finland","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2012","2012",,,"0","Units",,,1394613,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1998","1998",,,"0","Units",,,14495237,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,14415100,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,14350552,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,14292240,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2002","2002",,,"0","Units",,,14247289,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2003","2003",,,"0","Units",,,14350323,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,14401428,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,14939874,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,14948246,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,14890067,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,14834661,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,14805090,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2010","2010",,,"0","Units",,,14875582,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2011","2011",,,"0","Units",,,14925713,,
"FRA","France","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2012","2012",,,"0","Units",,,14983032,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1998","1998",,,"0","Units",,,16850908,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,16913481,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,16847079,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,16913189.721,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2002","2002",,,"0","Units",,,16863525.456,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2003","2003",,,"0","Units",,,16842054,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,16821659,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,16699519,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,16837084,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,16670759,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,16475459,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,16370235,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2010","2010",,,"0","Units",,,16290875,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2011","2011",,,"0","Units",,,16301638,,
"DEU","Germany","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2012","2012",,,"0","Units",,,16271720,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1998","1998",,,"0","Units",,,2045371,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","1999","1999",,,"0","Units",,,2001330,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2000","2000",,,"0","Units",,,2031340,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2001","2001",,,"0","Units",,,2052743,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2002","2002",,,"0","Units",,,2118898,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2003","2003",,,"0","Units",,,2102234,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2004","2004",,,"0","Units",,,2123181,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2005","2005",,,"0","Units",,,2194230,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2006","2006",,,"0","Units",,,2184995,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2007","2007",,,"0","Units",,,2107099,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2008","2008",,,"0","Units",,,2157590,,
"GRC","Greece","900000","All levels of education + not allocated by level","900000","Total","900000","All educational programmes","90","Full-time and part-time","9000","All types of institutions","90","Total males+females","2009","2009",,,"0","Units",,,2182624,,
